Vehicle Type,Fuel Type,Engine Size,Age of Vehicle,Mileage,Speed,Acceleration,Road Type,Traffic Conditions,Temperature,Humidity,Wind Speed,Air Pressure,CO2 Emissions,NOx Emissions,PM2.5 Emissions,VOC Emissions,SO2 Emissions,Emission Level
Bus,Electric,3.47401908,10,148259,30.61037173,4.376434024,Highway,Moderate,9.980117114,90.84170631,15.07647035,958.3773998,181.9914774,1.060834139,0.080572782,0.080039742,0.047041559,Medium
Truck,Petrol,3.880555758,23,141112,23.03811211,3.844369774,City,Moderate,-8.866433406,96.4529023,9.443927738,1026.323424,225.1015925,0.82819423,0.174779034,0.026471278,0.045447756,Medium
Truck,Petrol,1.041542146,21,197374,45.35871007,4.214961773,Rural,Free flow,8.500377223,32.45718958,9.055809092,1016.102445,85.03300715,0.541652404,0.093359066,0.052073354,0.024432268,Low
Motorcycle,Diesel,3.95923323,23,29949,47.10024147,0.880126036,Rural,Heavy,35.26840636,70.10068094,10.80139841,984.7485008,304.7583601,0.843239192,0.047286397,0.058817694,0.069381912,High
Car,Diesel,1.686725443,5,243072,104.8921276,1.519265744,City,Moderate,15.56221585,55.99824155,5.424204324,1002.484468,482.3651846,0.882502318,0.17416001,0.084562111,0.016322568,High
Motorcycle,Hybrid,1.138268284,20,248066,74.21321663,1.212430854,Highway,Free flow,39.33760057,33.70496586,13.9257711,1037.222184,177.7325962,1.151788999,0.103791391,0.059535675,0.094047635,Medium
Bus,Electric,5.734204794,20,214480,48.71537476,3.712141519,City,Moderate,16.99797159,15.33357809,5.911777441,954.4432716,468.1623814,0.210050574,0.092428121,0.052902459,0.015312667,High
Bus,Petrol,5.821286572,13,208366,64.12655571,0.768215597,City,Heavy,38.13994995,36.69202241,11.17213276,1043.02165,378.1433301,1.825239923,0.054633941,0.074170004,0.047036909,High
Truck,Electric,5.00366621,29,287556,114.475828,0.911138952,City,Free flow,0.09003644,92.77965714,2.738544576,997.0799602,155.2457853,0.807182213,0.155275226,0.067795319,0.035810062,Medium
Car,Hybrid,2.3839916,9,145384,13.58576119,4.394823604,Rural,Heavy,4.496740636,81.12483756,13.5015127,1035.965541,348.2844603,1.269220387,0.114542402,0.077390041,0.059652893,High
Motorcycle,Electric,1.307894993,25,142876,24.92586261,3.529410965,City,Free flow,24.99850551,33.06745306,3.792255291,1036.148292,214.8052915,0.682160789,0.049393811,0.052761392,0.012241353,Medium
Motorcycle,Hybrid,4.358011738,26,185058,115.5034448,4.37689989,Highway,Free flow,39.34108085,54.7675352,3.408279715,955.8712277,105.0359094,1.547184248,0.059269694,0.075115346,0.049510275,Low
Bus,Diesel,3.088792967,7,46545,114.8789818,0.696776291,City,Free flow,31.26487055,40.59616787,0.485663247,1028.159457,91.7247685,0.971523734,0.082668212,0.097399509,0.07783357,Low
Bus,Petrol,1.434598821,6,161071,21.25985055,1.994902023,Rural,Heavy,17.68526383,46.6237848,2.435715515,1023.286739,57.75237879,0.711410763,0.111521694,0.026345064,0.082648326,Low
Bus,Petrol,3.374919933,7,3768,17.41305806,1.41575585,Highway,Free flow,-5.742369282,76.1210686,4.651404902,954.3193547,409.0138182,1.931235347,0.162983688,0.014707637,0.094083767,High
Truck,Electric,0.97882031,27,263648,50.53021612,0.048405426,Highway,Heavy,8.2189555,54.3006201,4.446187214,1044.053787,448.182392,1.743893195,0.049376596,0.061365568,0.019753521,High
Truck,Petrol,5.528466091,7,8002,5.966195099,1.422614802,Rural,Moderate,-5.67871497,18.10444634,6.553428586,1013.454824,267.1422421,0.442624515,0.150331006,0.024260522,0.059865159,Medium
Truck,Hybrid,2.145655904,22,75427,78.58842387,1.89791626,City,Heavy,5.564068093,26.90356278,1.088328362,966.7534009,283.9665905,1.431216138,0.184083242,0.024854936,0.046124449,Medium
Motorcycle,Hybrid,4.245115879,1,13898,9.299522599,0.461098186,City,Heavy,2.939605033,56.77938619,18.70396037,962.3097194,361.2138081,1.533206109,0.085179308,0.070492203,0.068263931,High
Car,Diesel,2.420897596,26,80800,6.963555251,2.832437789,City,Free flow,9.427764832,69.28195599,2.383517587,1006.197299,365.4087677,0.165658055,0.079507421,0.04797677,0.084871282,High
Truck,Electric,3.50435371,15,214299,58.22243235,1.915863312,City,Moderate,31.8638295,50.81204274,14.03927758,955.8834264,195.857489,1.925831036,0.100764801,0.01292812,0.063954669,Medium
Motorcycle,Hybrid,3.642893453,8,126718,114.9343963,0.232308311,Rural,Moderate,-2.481166434,62.02105323,10.7014634,966.4409695,121.6318369,0.542647482,0.165249489,0.060546174,0.030611672,Low
Motorcycle,Diesel,1.761243169,12,33743,51.21551233,3.519894324,Highway,Free flow,5.303197443,78.93769516,11.0557761,1044.845221,243.687745,1.825910658,0.02758316,0.031994902,0.038917042,Medium
Truck,Petrol,5.841840064,22,209610,42.77773904,3.646399169,City,Moderate,3.055862216,54.53919162,2.11033651,1024.474086,363.656095,1.34273401,0.083579836,0.049040515,0.090330762,High
Bus,Petrol,4.830690681,11,243589,119.7548059,4.172357215,City,Free flow,4.807082357,97.71914501,4.864298843,1011.348911,411.8936886,1.073007898,0.01557074,0.013512491,0.070437584,High
Truck,Diesel,5.685394496,26,174458,63.83627529,2.427702999,City,Moderate,8.03117374,23.55686518,15.59762589,970.8819625,90.12304833,1.593091986,0.108390307,0.015716316,0.063643223,Low
Car,Electric,5.453102222,21,130864,45.02896883,4.843293987,Rural,Heavy,2.215587497,91.96882504,9.273729165,971.8515811,314.7415068,1.382552062,0.189383583,0.027239316,0.022525263,High
Truck,Petrol,3.90907989,24,152395,46.3032976,4.570320723,Rural,Moderate,37.12906361,24.76597948,9.141356346,994.5829325,74.34376221,1.506471411,0.040447888,0.074646784,0.040720453,Low
Truck,Petrol,5.593746022,28,172391,23.39513952,2.756758126,Highway,Moderate,11.0050857,53.16445764,10.91823592,1025.405427,421.15089,1.730021103,0.058526201,0.081098499,0.03907569,High
Truck,Electric,1.260161011,16,16868,61.46676689,2.224759655,Rural,Moderate,-4.29433674,45.59067708,8.67611777,950.3929604,350.0628654,0.995245506,0.142791638,0.040938491,0.012330697,High
Motorcycle,Diesel,1.819110885,26,230804,52.66260338,0.01517214,Rural,Free flow,13.3829305,37.28832691,16.12271862,954.4275267,363.4815927,0.908885665,0.141197578,0.021302415,0.093645742,High
Truck,Electric,1.035181902,1,264224,32.49543556,3.554972659,City,Free flow,-0.778404907,96.27346686,14.97410396,1037.011162,392.7732919,1.809577843,0.123377382,0.094276507,0.039846606,High
Bus,Diesel,2.49171772,12,144848,19.26481039,2.82477252,Rural,Moderate,0.806532125,27.23015609,6.340084337,1031.406568,273.0390611,1.615926576,0.055926395,0.080846919,0.019241463,Medium
Car,Petrol,2.821121906,0,197303,37.34866424,4.687720727,City,Heavy,4.252070882,67.48691043,16.24162226,1019.468115,184.5040578,0.136566034,0.022647593,0.024840772,0.054457259,Medium
Truck,Electric,2.211014965,25,184884,61.04199932,2.971160626,Rural,Moderate,-3.762007199,80.4068572,10.3721286,999.9532012,403.5488173,1.342255166,0.05223224,0.030424699,0.050383015,High
Truck,Petrol,5.109435048,27,63271,6.999992674,4.964280469,City,Free flow,26.05594663,19.70068456,12.55473666,964.5126778,399.8162755,1.817418658,0.131419586,0.013282447,0.086504285,High
Motorcycle,Diesel,2.655117299,18,77585,18.44928343,4.269096359,Rural,Moderate,29.59732374,97.31529264,17.32351664,960.2233191,110.7244599,1.398808271,0.066285598,0.091079392,0.081983744,Low
Truck,Electric,2.26085945,10,124147,113.718872,4.767989679,City,Free flow,9.714246096,54.66404757,9.519864985,1040.537633,456.2430461,1.151537396,0.169927593,0.093995626,0.080346987,High
Motorcycle,Electric,3.622019632,4,15628,65.14264212,1.638313856,City,Moderate,24.44962697,91.44906616,15.12520725,988.252184,149.5458143,0.434191478,0.127087482,0.017460154,0.093905386,Low
Bus,Hybrid,1.53280597,0,259517,7.613916439,0.746679974,Rural,Moderate,9.447714509,66.38810597,12.56174718,1019.572262,187.9067029,1.906098212,0.019497738,0.023220715,0.043709376,Medium
Motorcycle,Hybrid,4.9714243,19,139337,83.17053105,3.984360569,Rural,Moderate,-1.796133818,64.94268508,8.534898826,995.6198082,147.1623632,1.290064284,0.026756823,0.028477709,0.063053279,Low
Bus,Electric,1.187663347,29,274604,7.416344409,3.930985515,Highway,Free flow,9.858403067,34.55860892,15.78096733,1023.092892,484.5187449,0.291949773,0.063312774,0.026282653,0.070259303,High
Bus,Hybrid,5.93181207,12,259970,88.66490725,1.057244697,City,Moderate,17.84936977,77.05901434,2.103182357,969.3308881,184.7576255,1.86252414,0.118979558,0.094651262,0.052495955,Medium
Bus,Petrol,4.8156728,7,3477,89.99552661,3.823723271,City,Free flow,-7.950284296,2.97863172,11.62440435,998.4567919,487.1311646,1.081550159,0.188006355,0.033518813,0.031947593,High
Bus,Electric,1.833321544,5,264346,78.12947709,2.90986679,City,Moderate,22.72421953,55.58204821,0.928215147,987.6866353,337.0724264,0.398727795,0.029617177,0.043737309,0.090911417,High
Car,Diesel,0.828715009,28,113846,87.86454535,0.547625725,Highway,Heavy,27.13039845,3.21390632,3.123382555,974.50537,129.4540898,0.530414126,0.167826645,0.016183332,0.091065314,Low
Truck,Petrol,5.040399428,16,244000,10.55589372,2.508917988,Highway,Free flow,32.99851289,30.68718728,11.97747275,1009.771114,299.2292248,1.938841571,0.118836007,0.066560665,0.07909504,Medium
Truck,Diesel,4.475658188,11,273994,87.21366628,4.655690004,Highway,Moderate,-4.861471988,9.629578021,6.152133932,1003.697329,447.0189403,0.929602937,0.079144495,0.033940589,0.041150486,High
Truck,Electric,4.590837274,0,235693,16.40259837,2.532287727,Rural,Moderate,-9.995320307,91.15910284,5.249499775,999.569123,302.7536539,0.897380853,0.132163392,0.032068125,0.010256211,High
Bus,Hybrid,4.810605803,2,133878,40.74070887,3.943494948,City,Free flow,-6.336681549,62.82603665,19.11677384,1009.110274,109.667975,1.023719574,0.159152473,0.09794113,0.054207894,Low
Car,Hybrid,1.185032189,13,262329,113.1294304,0.144549933,Rural,Moderate,36.20584019,66.85106169,7.318112458,964.253077,179.1208229,1.430988733,0.078157153,0.013472154,0.057213397,Medium
Truck,Petrol,2.664021788,25,24718,60.34505732,3.640407064,Highway,Moderate,28.27778605,85.11284243,11.2948294,987.0548334,151.1633233,0.793538274,0.184740845,0.026839425,0.053915815,Medium
Truck,Diesel,1.40251911,7,187274,116.0911718,4.734186931,Rural,Moderate,31.77178234,73.30324753,10.68497543,982.4674273,106.6350223,0.899981212,0.114678657,0.056187527,0.018684206,Low
Car,Diesel,5.288137815,10,156287,10.67069507,2.497638924,City,Moderate,15.85068986,12.41955761,1.240368463,1026.917542,197.2788788,1.517624801,0.039812505,0.060603423,0.080910008,Medium
Truck,Diesel,4.04115026,26,280602,57.30679195,1.688549565,Highway,Heavy,16.33599373,61.75383333,13.48551477,953.5724075,347.4782413,0.9762739,0.113887759,0.07417458,0.057892462,High
Bus,Petrol,2.520669729,13,130293,7.488278433,3.233252524,Highway,Moderate,4.925279492,97.81707304,10.25802639,978.1931093,222.1294268,1.455787534,0.15543991,0.028820094,0.029961607,Medium
Car,Diesel,1.130503421,7,147078,75.62523149,4.581306075,Highway,Moderate,32.1376526,21.41158909,7.628342336,1041.829431,249.7107807,1.928213296,0.121449637,0.045464751,0.096085024,Medium
Bus,Petrol,2.417108073,28,225152,9.444840164,0.883848253,Rural,Heavy,31.48847915,61.97139311,1.320336321,980.0350649,194.2968491,1.928797758,0.120983398,0.035846298,0.037187022,Medium
Car,Petrol,2.490953275,2,76820,21.0441363,2.01847105,Highway,Moderate,9.608567286,56.36143141,5.8602797,965.1899476,497.5123167,0.949312286,0.015271911,0.085104534,0.044372962,High
Motorcycle,Hybrid,4.593952127,6,225751,31.05963721,0.781451405,City,Heavy,6.463353524,39.16460458,17.68190752,1025.73454,313.7889702,0.545020926,0.09803369,0.042382309,0.046126544,High
Bus,Diesel,4.115298851,27,81234,89.8492622,2.483271161,Rural,Moderate,26.91866356,95.46353837,3.474227466,954.7844191,425.2470862,0.577342087,0.079460351,0.033500905,0.046128182,High
Car,Electric,5.413506261,18,129282,19.67545426,2.702110065,Highway,Free flow,-8.691593083,35.64003856,4.386672795,992.631985,248.5980536,1.656521743,0.018319738,0.065514308,0.067845046,Medium
Bus,Diesel,3.255517611,3,271246,101.5958464,4.721018074,Highway,Moderate,32.99744493,9.368044269,4.105880621,1035.535776,125.8867983,0.251468218,0.139422557,0.019676133,0.035549518,Low
Motorcycle,Hybrid,1.421890079,24,234501,15.82847266,2.062575769,City,Free flow,12.31239947,96.25429838,17.81609639,1045.409481,431.0634422,0.17678678,0.044792866,0.086406294,0.091305181,High
Motorcycle,Electric,4.508872894,15,126328,4.229333888,2.834783068,City,Free flow,12.06721233,72.92202068,13.99990965,974.9019757,393.5455341,1.394692338,0.076484446,0.035113241,0.061552555,High
Truck,Electric,4.756082253,12,84079,47.40545028,4.42631287,City,Heavy,23.45389237,34.24498756,17.63686126,979.6202234,198.4140398,1.82921534,0.119742699,0.084161108,0.089191332,Medium
Bus,Diesel,3.718641427,19,94437,117.532997,1.607025001,Rural,Moderate,22.28746802,28.05116251,18.27493,1006.72511,322.8879204,0.538525924,0.093654219,0.099223933,0.09256449,High
Motorcycle,Petrol,4.809029336,18,79570,13.24106733,3.370819345,Rural,Free flow,3.298703303,92.80266646,18.5593507,972.6551558,92.06064211,0.203693786,0.143336246,0.011919265,0.079183585,Low
Car,Diesel,3.367737101,4,92656,12.20621328,3.785809244,City,Free flow,37.16393023,27.3549976,9.714312257,965.0744067,61.84508553,1.801046401,0.170504936,0.027277496,0.031929167,Low
Motorcycle,Petrol,3.518210713,22,197937,90.1399813,1.652641173,City,Heavy,39.31649897,53.71576727,9.524477021,992.5981511,417.0916439,0.772904097,0.042156747,0.077207944,0.039676881,High
Bus,Hybrid,3.023213295,4,172492,37.45940328,0.821705928,City,Free flow,16.29945071,21.49550712,16.57845681,957.224808,473.8675731,1.144469607,0.062932886,0.017454641,0.030628406,High
Motorcycle,Electric,0.932179459,19,156454,86.07379407,2.51454771,City,Free flow,18.06903991,99.52146139,6.638533483,1039.421997,204.8268574,1.688870121,0.045305275,0.05018089,0.051118299,Medium
Truck,Electric,1.36103542,23,38795,24.00127073,1.784008651,City,Heavy,17.71589817,76.95085863,0.44422259,983.4196622,318.9079161,0.575006182,0.104846998,0.023550138,0.055989878,High
Motorcycle,Electric,0.963431766,3,51425,55.2086393,1.332312159,Rural,Heavy,14.28937041,56.76349402,6.63095434,983.6284125,372.7811011,1.242321086,0.02505867,0.052277825,0.040472342,High
Truck,Hybrid,4.109334139,1,57402,31.83478533,4.867106553,Rural,Heavy,37.25935268,74.58264492,14.32700661,1029.137311,385.7191437,1.983868572,0.150841368,0.011130919,0.088517728,High
Truck,Petrol,2.434651102,25,207275,54.18338579,2.510765094,City,Heavy,2.237622449,91.63679666,2.472281032,984.1548357,266.4820552,1.508488225,0.034308856,0.023548857,0.045599613,Medium
Bus,Hybrid,3.444567594,12,238723,92.29165111,4.282388469,Highway,Heavy,-4.602091187,96.31241944,15.69561716,1026.090686,325.977004,0.854947163,0.189886198,0.034745944,0.073383486,High
Motorcycle,Petrol,5.519345664,29,203567,91.44119286,0.976587053,City,Heavy,36.47736422,78.60188844,16.30948635,968.1242014,345.6737278,1.559234902,0.169670377,0.027809906,0.085048243,High
Truck,Petrol,2.096319592,15,95117,61.89267452,4.697213824,Rural,Free flow,0.651915711,84.90659683,2.018247321,1002.898834,96.46488482,0.141368268,0.194164837,0.042521529,0.024488002,Low
Car,Electric,2.9339912,21,261712,111.4046212,3.972157173,Highway,Free flow,27.45776768,39.77939246,1.956785729,1026.851147,340.2997754,0.50914586,0.017710376,0.023042957,0.074342279,High
Truck,Diesel,4.72886592,1,209125,31.65409229,4.043460781,City,Moderate,0.193665462,39.18229952,3.976242931,994.9899103,279.8859542,1.514888967,0.048980311,0.083872054,0.024368813,Medium
Car,Diesel,1.989750461,18,187350,28.83736213,1.948824376,Highway,Free flow,38.00930078,80.82966527,7.127787865,957.1813264,220.3247882,0.598248379,0.192594479,0.056823334,0.078744999,Medium
Bus,Electric,1.200295531,16,30568,73.65676814,2.428184965,Highway,Heavy,29.55608852,75.96251389,10.65467137,1023.690235,167.7812897,0.339615871,0.197081755,0.03791457,0.061062342,Medium
Truck,Electric,2.306707555,4,271056,74.55564411,2.966771629,Highway,Moderate,35.93590861,90.09817036,9.710839961,999.4056494,337.0637556,0.657277949,0.063333337,0.036567211,0.056280171,High
Bus,Petrol,1.638350694,24,163599,5.584804748,3.948827681,Highway,Free flow,37.54924101,13.30096942,17.06336974,981.6416123,125.0415154,0.425536124,0.123763194,0.031957773,0.057713099,Low
Bus,Diesel,5.634427792,17,230066,72.93332549,4.24528376,Highway,Heavy,-5.778780787,69.08131187,2.844639742,1049.279573,414.8758612,0.899227267,0.049424395,0.055471247,0.046136346,High
Car,Hybrid,5.002225974,27,253007,44.93233888,0.390226547,City,Moderate,11.66944279,64.76482338,13.95145444,1037.607223,127.3088173,0.336627543,0.180011077,0.057809199,0.014467291,Low
Truck,Diesel,4.093699534,22,2355,89.69310304,4.520311938,Rural,Moderate,22.40501685,79.85198404,10.9777317,953.782255,397.2277835,1.691637395,0.036002815,0.099241576,0.059741064,High
Truck,Hybrid,5.331595069,20,96429,96.97267975,4.687483263,Highway,Free flow,30.12280521,2.455238491,14.73649646,1009.365403,417.8377237,1.581953403,0.140763779,0.066611308,0.012021796,High
Truck,Petrol,4.9790948,17,185805,66.25845835,2.964437022,Highway,Moderate,2.073587221,82.62524457,6.838928537,985.4568731,472.8443558,0.683247377,0.065128151,0.057827514,0.092139916,High
Motorcycle,Electric,1.770164306,7,111151,0.20460378,0.933753066,Rural,Heavy,35.73024297,32.64266533,9.427592575,953.7405189,258.4809894,1.08786119,0.081021707,0.013446413,0.032415475,Medium
Bus,Electric,5.441306792,26,280232,76.36389722,4.092074164,Rural,Moderate,1.048816455,68.7122131,0.571859784,951.1297027,78.65917246,1.724566114,0.114109611,0.059502033,0.068402148,Low
Truck,Hybrid,3.604579658,14,175477,89.86575356,2.742938073,City,Heavy,33.30882008,61.65595716,2.322118182,1008.375778,354.9569097,1.865141918,0.091217518,0.054544458,0.060425866,High
Bus,Hybrid,4.998688807,12,61788,29.87799195,4.085982269,City,Moderate,15.63562898,44.01983208,7.499912239,982.0130659,177.1801202,0.27306571,0.109448307,0.090696889,0.065506796,Medium
Bus,Diesel,5.45967476,12,51529,55.75752014,4.074040633,City,Moderate,15.77110859,74.60275339,9.625094822,1020.331621,91.72695294,1.471839103,0.139132869,0.075029517,0.03918703,Low
Car,Electric,2.45361807,15,112833,115.8871948,0.433646578,Rural,Heavy,8.700280774,96.12189304,1.714937861,995.4421286,435.094674,0.357372813,0.066284848,0.053162494,0.050451318,High
Bus,Petrol,1.372270008,21,103578,35.77386641,3.035107142,Highway,Heavy,-4.824738429,32.34749799,16.49976498,1026.649756,112.8818181,0.138064034,0.150374587,0.030529151,0.077411039,Low
Car,Petrol,1.985262845,19,183455,26.77839013,2.415721496,Rural,Moderate,7.354503156,74.84358832,18.92104725,1031.306523,277.8670573,0.249994605,0.089266037,0.074304269,0.045206721,Medium
Motorcycle,Diesel,3.020960501,12,39177,25.30257486,4.73059735,Rural,Heavy,11.33683575,31.45370448,11.92794956,1015.723441,404.8302063,1.194172352,0.014141311,0.03582445,0.035634437,High
Truck,Hybrid,5.053676783,19,116903,67.05610012,1.48320646,City,Moderate,13.95105283,84.56531403,1.068038424,991.7972608,139.5922618,0.816520135,0.170862958,0.041763232,0.012798039,Low
Motorcycle,Diesel,5.275799033,1,39056,113.9744522,1.030000531,City,Moderate,26.95476452,43.72731659,14.77652448,1048.847725,453.4859486,0.325482578,0.063501583,0.072312933,0.052836853,High
Car,Petrol,0.836151079,2,66421,73.0428155,4.48543428,Highway,Free flow,7.603505523,44.92657341,4.343274246,980.6685381,199.2142762,1.001220793,0.173445296,0.038115708,0.07251211,Medium
Car,Electric,3.455885973,14,164704,36.39877443,0.743577845,City,Moderate,10.32964302,77.18805811,14.67303384,1001.457933,228.3878595,1.065639112,0.151469417,0.036717435,0.035989737,Medium
Motorcycle,Diesel,2.970537216,22,208294,76.62837337,3.432597294,City,Heavy,35.30493012,49.61696995,8.686920303,1002.04041,109.1720604,1.596050438,0.087274889,0.049796698,0.087912751,Low
Bus,Electric,1.954960614,18,68590,74.98107571,1.500099069,Rural,Free flow,27.62836473,26.66446179,1.068533125,992.8338851,340.0069242,1.360957736,0.133554424,0.069712156,0.020425697,High
Truck,Electric,1.42329991,12,271121,71.63101629,2.839228777,City,Moderate,-8.857211525,99.55369337,5.574978783,962.1415319,272.8922804,0.985336643,0.198470525,0.094765634,0.043599181,Medium
Car,Diesel,2.555598891,4,283644,19.13114483,3.081097164,City,Moderate,30.60443789,62.02253929,8.540599202,985.3942092,488.3721886,0.716239062,0.068425046,0.023384175,0.076563508,High
Bus,Petrol,5.70313046,25,10011,76.14801592,2.08684641,Rural,Free flow,39.49719622,64.51495567,14.72500683,971.5189746,364.2484172,0.103816235,0.095582815,0.032731792,0.097255642,High
Motorcycle,Petrol,2.480655247,21,179111,51.6197343,4.874824901,Highway,Free flow,36.98838707,64.65819178,2.661385637,1039.985719,391.5463449,1.680879327,0.038218448,0.098682056,0.044005923,High
Truck,Electric,3.497711233,5,814,2.231047035,0.65916584,Highway,Heavy,31.79779497,88.33590661,5.740033547,1015.537508,139.5880518,0.607272254,0.175560174,0.065542007,0.076718861,Low
Motorcycle,Hybrid,4.455698586,13,282294,64.77173846,1.956995445,City,Free flow,21.45868737,18.38720057,1.670745618,978.7814184,370.7471524,0.505115296,0.115047436,0.010865835,0.072283902,High
Motorcycle,Diesel,2.690873932,3,3825,118.7120094,2.151976634,City,Moderate,3.909606108,5.915150517,12.31613976,1006.573262,300.8275257,1.495741555,0.029366054,0.090517267,0.094315146,High
Motorcycle,Electric,5.85326683,21,50368,41.9687509,3.155234745,Highway,Heavy,22.72153057,38.67005118,9.485429979,1035.320752,231.7247638,0.236133672,0.123537154,0.035389669,0.055099935,Medium
